2026-01-28T09:47:18.934326333Z I0128 09:47:18.934214       1 base_controller.go:76] Waiting for caches to sync for CertSyncController
2026-01-28T09:47:18.935796957Z I0128 09:47:18.934472       1 observer_polling.go:159] Starting file observer
2026-01-28T09:47:19.036034765Z I0128 09:47:19.035974       1 base_controller.go:82] Caches are synced for CertSyncController 
2026-01-28T09:47:19.036816764Z I0128 09:47:19.036801       1 base_controller.go:119] Starting #1 worker of CertSyncController controller ...
2026-01-28T09:47:19.036936300Z I0128 09:47:19.036909       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:47:19.037414294Z I0128 09:47:19.037395       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:51:05.236304152Z I0128 09:51:05.235885       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:51:05.238314112Z I0128 09:51:05.238273       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:51:05.238449518Z I0128 09:51:05.238426       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:51:05.238915221Z I0128 09:51:05.238881       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:51:10.596114390Z I0128 09:51:10.596046       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:51:10.596360213Z I0128 09:51:10.596328       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T09:51:10.596517190Z I0128 09:51:10.596459       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T09:51:10.596679758Z I0128 09:51:10.596641       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:01:05.236685969Z I0128 10:01:05.236606       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:01:05.237118021Z I0128 10:01:05.237092       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:01:05.237222196Z I0128 10:01:05.237201       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:01:05.237356823Z I0128 10:01:05.237338       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:01:10.596894207Z I0128 10:01:10.596820       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:01:10.597431844Z I0128 10:01:10.597399       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:01:10.597599212Z I0128 10:01:10.597570       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:01:10.599081746Z I0128 10:01:10.599054       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:11:05.236819037Z I0128 10:11:05.236750       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:11:05.239223757Z I0128 10:11:05.239191       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:11:05.240161804Z I0128 10:11:05.240139       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:11:05.241880849Z I0128 10:11:05.241851       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:11:10.597957434Z I0128 10:11:10.597886       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:11:10.598301201Z I0128 10:11:10.598272       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:11:10.598419507Z I0128 10:11:10.598394       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:11:10.598584146Z I0128 10:11:10.598561       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:21:05.237055569Z I0128 10:21:05.236963       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:21:05.237347754Z I0128 10:21:05.237319       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:21:05.237470270Z I0128 10:21:05.237448       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2026-01-28T10:21:05.237658550Z I0128 10:21:05.237638       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2026-01-28T10:21:10.598829064Z I0128 10:21:10.598767       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
